Date,Time,Latitude,Longitude,Magnitude,Epicenter
2015-05-14,3:23 AM,27.67,86.08,5.0,Dolakha
2015-05-14,8:52 AM,27.8,85.82,4.0,Sindupalchok
2015-05-14,9:06 AM,27.83,86.15,4.0,Dolakha
2015-05-14,3:20 PM,27.62,86.09,4.0,Dolakha
2015-05-14,7:43 PM,27.75,86.14,4.0,Dolakha
2015-05-14,8:21 PM,28.06,85.35,4.0,Rasuwa
2015-05-14,8:50 PM,27.71,86.04,4.0,Dolakha
2015-05-14,9:40 PM,27.84,85.84,4.0,Sindhupalchowk
2015-05-15,3:38 AM,27.63,86.25,4.0,Dolakha
2015-05-15,4:06 AM,27.69,86.08,4.0,Dolakha
2015-05-15,7:27 AM,27.93,84.84,5.0,Dhading
2015-05-15,10:51 AM,27.92,84.84,4.0,Dhading
2015-05-15,3:09 PM,27.61,86.2,4.0,Dolakha
2015-05-15,10:58 PM,27.74,86.17,4.0,Dolakha
2015-05-16,2:15 AM,28.07,84.7,4.0,Gorkha
2015-05-16,4:28 AM,27.65,86.12,4.0,Dolakha
2015-05-16,4:38 AM,27.66,86.09,4.0,Dolakha
2015-05-16,6:11 AM,27.97,85.48,4.0,Nuwakot
2015-05-16,6:31 AM,28.13,84.89,4.0,Gorkha
2015-05-16,9:24 AM,27.7,85.85,4.0,Sindhupalchowk
2015-05-16,9:35 AM,27.45,85.31,4.0,Lalitpur
2015-05-16,5:19 PM,27.6,86.26,5.0,Dolakha
2015-05-16,8:44 PM,27.64,86.14,4.0,Dolakha
2015-05-17,5:00 AM,27.73,86.06,4.0,Dolakha
2015-05-17,11:30 AM,27.48,85.87,4.0,Ramechhap
2015-05-17,8:40 PM,27.84,86.24,4.0,Dolakha
2015-05-18,9:11 AM,27.71,86.07,4.0,Dolakha
2015-05-18,6:27 PM,28.11,84.88,4.0,Dhading
2015-05-18,11:24 AM,27.69,86.26,4.0,Dolakha
2015-05-19,4:34 AM,27.66,86.03,4.0,Dolakha
2015-05-19,11:29 AM,27.9,85.99,4.0,Sindhupalchowk
2015-05-19,4:44 PM,27.92,86.04,4.0,Sindhupalchowk
2015-05-20,11:10 AM,27.84,86.33,4.0,Dolakha
2015-05-20,2:47 PM,27.52,85.26,4.0,Lalitput
2015-05-21,2:11 PM,27.85,86.32,4.0,Dolakha
2015-05-21,2:56 PM,27.93,85.46,4.0,Nuwakot
2015-05-21,7:30 PM,28.02,84.98,4.0,Dhading
2015-05-22,2:45 PM,27.79,85.14,4.0,Nuwakot
2015-05-22,4:44 PM,28.05,85.08,4.0,Nuwakot
2015-05-22,5:30 PM,27.63,86.25,4.0,Dolakha
2015-05-22,6:49 PM,27.78,85.93,4.0,Sindhupalchowk
2015-05-22,8:44 PM,27.69,86.16,4.0,Dolakha
2015-05-22,7:07 PM,30.31,81.47,4.0,Humla
2015-05-23,1:14 PM,27.74,86.2,4.0,Dolakha
2015-05-23,10:26 PM,27.9,85.51,4.0,Sindhupalchok
2015-05-24,7:06 AM,27.67,86.18,4.0,Dolakha
